"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"MT-TG" -2.87198188595722 2.21538754682826 -6.77880532944296 2.38959984457483e-06 5.91715570972821e-05 4.70939625480122
"CSGALNACT1" -2.81381160038814 2.85596289556463 -3.42131585069051 0.00304687033484972 0.013135182203345 -2.44593742871344
"SCARNA12" -2.76478595703783 5.82956035260406 -9.59094654028646 1.70312886055021e-08 1.38461834379358e-06 9.73721430500663
"UBR5-DT" -2.75017448872657 1.40656775634214 -12.8768250990676 1.62408946604676e-10 2.90046403985466e-08 14.3992688260834
"MTND2P28" 2.66915597702284 5.22307078233516 8.43417569184278 1.15168515824145e-07 5.86283089433756e-06 7.76801777041275
"SLC7A11-AS1" -2.60542355668681 2.15742372442603 -8.38295615033459 1.25817061860108e-07 6.20204104933945e-06 7.7161553963072
"MIF-AS1" 2.53842727631062 2.50247443203994 21.1440826344982 3.73640507400027e-14 5.81491383945127e-11 22.4531887995591
"PLD4" -2.50485825302953 1.55480084392956 -16.2429546910477 3.41976838542031e-12 1.49019827163075e-09 18.1758147819964
"CTTN-DT" -2.50283192361961 2.11906710144798 -17.5151001103492 9.51219440255496e-13 5.45399188533862e-10 19.4015745032351
"MIF" 2.46719899534996 2.4939895572077 19.8912045388865 1.07398950505982e-13 1.30000462979129e-10 21.4784739332952
"RNU2-2P" 2.43851314742087 2.44857000368957 9.05689482653577 4.03437042500774e-08 2.67990435427038e-06 8.85291880672387
"IGFBP7" -2.40316820900837 3.483069437969 -10.5894689959294 3.70132145238582e-09 3.53703472827115e-07 11.2802438773047
"EPM2A-DT" -2.39260388816571 1.82913794471083 -13.1623216633165 1.13482758350188e-10 2.20764494547668e-08 14.7548019223866
"SCARNA7" -2.37925110976807 5.80691359073662 -6.84671407715154 2.09485286173131e-06 5.33792696059781e-05 4.88180261105205
"SHROOM3-AS1" -2.36300988918181 1.25629754667227 -7.40374325225775 7.28543013747067e-07 2.39780894010893e-05 5.9349218761882
"SCARNA13" 2.35149433086713 2.47635397977135 13.2949950134617 9.62775878411795e-11 2.02407487611185e-08 14.9172252922836
"HEXIM2-AS1" -2.32952682854848 2.57997407805022 -11.4966114713793 1.01141051237149e-09 1.22425623575278e-07 12.5814288149795
"SNORA74A" -2.29389054843198 4.25161405464045 -8.27198960402598 1.52560896415575e-07 7.07233364064372e-06 7.51872815370518
"CDR1" -2.2909319272563 0.9993444585362 -14.0527555287256 3.86078461991253e-11 1.05148469123318e-08 15.8204302603469
"TMEFF1" -2.27029126098966 2.10984382887753 -8.75167587075191 6.70599321732743e-08 3.82487382772592e-06 8.3631252349197
"DDIT4" -2.26985112243297 5.2860855894721 -2.41535216481492 0.0265838356502247 0.0669515668625199 -4.59037396998928
"USP34-DT" -2.25845573720407 2.43664693498688 -12.7127607183348 2.0014836302813e-10 3.40690041691945e-08 14.1935021171732
"THBS1-AS1" -2.2420902865053 1.83089224293623 -16.4156372806115 2.85988910648922e-12 1.35459269243885e-09 18.3635521133308
"FLNB-AS1" -2.21401499145661 2.75374233078407 -15.0580453843097 1.2222260666449e-11 4.16091586563424e-09 16.9378700630681
"MRPS25" -2.20748336036568 4.73153981207227 -21.4660657859218 2.87522282165996e-14 5.22044623652726e-11 22.6538869762308
"SNORD3A" -2.20557897297953 8.23487493161935 -6.34180324540301 5.65867716657374e-06 0.000113111245968173 3.87047109536338
"SNHG8" -2.1609292138721 5.34445597938952 -7.61840530032685 4.90392886913499e-07 1.77486382393211e-05 6.36187593682607
"H2AC7" 2.16046356873162 2.45681987682688 11.3562622680219 1.22979644657254e-09 1.45563698674258e-07 12.3707442128287
"MTND5P11" -2.1256310937438 1.73054713260607 -6.0824092641968 9.55412621936518e-06 0.000170907472961846 3.3430859028566
"PRICKLE1" -2.12371786181358 4.61295874297414 -5.23557584461937 5.60471606431091e-05 0.000660798450266267 1.46579315406878
"TNFRSF11B" -2.11543367144325 2.85231518589635 -3.1295512036725 0.00579607859898853 0.0214551411000275 -3.04639628267888
"SH3BP5-AS1" -2.08839926219357 2.83798290540753 -15.8373697634176 5.23913388068833e-12 2.11389349985995e-09 17.7556446482777
"PDF" -2.08245458103063 4.29989111080354 -16.3410612790199 3.08882986640850e-12 1.40207135686059e-09 18.2556980533333
"H3C4" 2.08021933853271 2.32585344749327 12.0160237014197 4.98368974164686e-10 7.23897547273345e-08 13.2766534233616
"SESN3" -2.07856463617396 5.88566740798463 -3.20202084861134 0.0049439870757231 0.0189713966900061 -3.04590927719472
"TFB1M" -2.0620217510446 3.90650467874612 -19.545945679783 1.45221856575253e-13 1.43822445957346e-10 21.1247495608574
"SOX2" -2.06129542309282 3.25372709430283 -2.80560243482369 0.0117011982716769 0.0361112900769542 -3.71837103149715
"LRRC75A" 2.03960009927586 4.39803733969879 8.02720080536297 2.34706396444259e-07 9.9083673477024e-06 7.11094348033436
"RPS17" 2.03771182976765 2.41277148327147 13.4210312542284 8.24584454525607e-11 1.87146313491708e-08 15.0693132700807
"AFAP1-AS1" -2.02487887405172 2.08843381659111 -15.8962180928086 4.92178899359222e-12 2.06222958831514e-09 17.8148190662373
"SNORA24" -2.02378388487191 3.82059189971667 -8.10516332226943 2.04444579654153e-07 9.0048483401162e-06 7.21160190438769
"MT-TR" -2.02258615760366 2.46981535007758 -3.05888469602085 0.00676435032025113 0.024121385397321 -3.19668443388677
"CIBAR1" -2.00440076999014 3.72515330051108 -12.923641395925 1.53069625108352e-10 2.77923415988397e-08 14.4584219788749
"VIL1" -1.99359504908974 1.25273598918748 -13.9119576490586 4.56076697648873e-11 1.21182915711874e-08 15.6569038006779
"CHAC1" -1.9876217240617 4.43584900210801 -2.99450290275333 0.00778240397944991 0.026872110602893 -3.36193252387188
"RNF213-AS1" -1.98408457675338 3.89431730278355 -9.74870675576281 1.3284684875957e-08 1.13065122686465e-06 10.0043703888323
"PWAR5" -1.96927126736944 3.53416138313888 -10.9129219355744 2.30897970722149e-09 2.39562142194961e-07 11.7645643783622
"MT-ND1" 1.96857898177143 10.7442711224364 4.49552793054404 0.00028021078944099 0.00222818710961325 -0.107951166401758
"MT-TK" 1.96652844665554 3.46447135425342 2.67210844468271 0.0155512041313774 0.0447713577714655 -3.9775560697149
"SNORA73A" -1.94733356862458 5.34370187697904 -5.56938006251234 2.76174481013943e-05 0.000382779236153421 2.27461805913227
"PIH1D2" -1.92762442023795 1.49744275728928 -8.17380728736468 1.81165509910092e-07 8.08859452852681e-06 7.33368304051045
"SETD6" -1.92651820719884 4.94020125394459 -15.6278871721963 6.55506227816752e-12 2.46244305028817e-09 17.5603861554031
"HAS2" -1.92203271771442 2.25160033914644 -2.10513592619424 0.0495995054116662 0.107619525367408 -5.06190783557528
"FUT1" -1.91545632061646 2.27181327163203 -1.96136319156933 0.065505037076621 0.133097346635693 -5.31063520242225
"GPANK1" 1.91412020076314 3.21368372057283 6.42888594322876 4.75574008571857e-06 9.90612475981225e-05 4.05884217831403
"UQCC5" -1.91375797581123 3.4809296280597 -18.009934250036 5.91297322432593e-13 3.57866279476703e-10 19.8251569237671
"MT-TE" -1.91133244748394 2.11227948199795 -5.37643458228907 4.15121915237681e-05 0.000525853272627825 1.86300832617878
