"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "Gene"
"TMEM200A" -1.43521186018641 2.58914618630413 -7.3361152046284 1.26851961917433e-09 3.84945334028168e-08 11.7318906157602 "TMEM200A"
"H2BC8" -1.43002425590406 2.87951039653943 -4.34052201919616 6.39342020131907e-05 0.000348537145083085 1.15462750387992 "H2BC8"
"MT-TC" -1.42808314627969 9.40736262324481 -9.15646029830304 1.60698833725005e-12 1.37043515893457e-10 18.3064889175721 "MT-TC"
"SPRY2" -1.42096234213669 4.46300264261597 -8.53816193891229 1.51017422080812e-11 9.07220424766257e-10 16.0977940413146 "SPRY2"
"HMGA2-AS1" -1.40390873905172 2.51538374137877 -11.9614554556562 1.04370852726211e-16 4.24267516332049e-14 27.7937081009738 "HMGA2-AS1"
"SNORA63" -1.36374097638516 4.65571794253205 -7.6027455756981 4.72027338549629e-10 1.69305099812139e-08 12.7053903509382 "SNORA63"
"ISG15" -1.35930382544932 5.338056974286 -6.79344393832497 9.51444078640582e-09 2.06089885240176e-07 9.74957009033029 "ISG15"
"BTG1" -1.35112572752293 5.53395571825686 -11.8751064114761 1.38426280101497e-16 5.44551124463791e-14 27.5166204136065 "BTG1"
"RND1" -1.34296210087395 3.33120981348801 -8.61063978010348 1.15941549321454e-11 7.23162814975908e-10 16.3583609218082 "RND1"
"ZFP36L2" -1.33682153301059 5.49215842550068 -9.92930373809386 1.02906716683757e-13 1.26762364642264e-11 21.014823293127 "ZFP36L2"
"TENM4" -1.32125617354773 2.19104549989642 -10.2874735298952 2.94403121310154e-14 4.54461527136371e-12 22.2473144720623 "TENM4"
"DDX60" -1.27868348779252 4.61286563907806 -9.13624126259976 1.72820117792021e-12 1.43822142708991e-10 18.2348058462922 "DDX60"
"TM4SF1" -1.27521922694493 5.96700439938989 -8.32915636384833 3.24346657500663e-11 1.71974238618286e-09 15.3442297972978 "TM4SF1"
"LAMA2" -1.27082479705014 2.60573288990465 -7.99450629596755 1.1097796546403e-10 4.99400844588134e-09 14.1317795064452 "LAMA2"
"SOX9" -1.26992756988071 6.6121506681682 -8.24974534068189 4.34009019229369e-11 2.26185469636844e-09 15.0571312693234 "SOX9"
"ZC3HAV1" -1.24940933247933 7.50454341143706 -11.4453342732474 5.72505877931274e-16 1.48547003858976e-13 26.1226723438997 "ZC3HAV1"
"TRIML2" -1.24028211671284 3.67867277883205 -4.9070574799597 9.13315603690339e-06 6.71766211520126e-05 3.03478000824838 "TRIML2"
"MT-TI" -1.2399888424866 3.57688318668843 -9.53782446265256 4.10802146907294e-13 4.00778574522756e-11 19.6508914888947 "MT-TI"
"THBS1" -1.23832348597642 7.66414731218096 -6.82856364453494 8.35153634084982e-09 1.84505408834535e-07 9.87772655405049 "THBS1"
"NFKBIZ" -1.22303213195578 4.72563424633284 -5.25007590083269 2.71161502432243e-06 2.4137332278549e-05 4.21501031333182 "NFKBIZ"
